Exercise	Min Reps	Group	6-9 Reps	5-8 Reps
Incline barbell Press	4	1	115	
Cable Fly (High)	10	1	27.5	
Pec Deck	4	1	150	
Leg Press (Controlled Depth)	4	1	450	450
Cable Crunch	10	1	70	77.5
Weighted Decline Crunch	10	1	35	45@20,20,10
Ab Crunch Machine	10	1	150	130
Weighted Plank	10	1	45@70s,45s	
Assisted Pull-Ups	6	2	52.5	
Lat Pulldown	4	2	165	
Chest-Supported Row	4	2	65	50
Hammer Curl	4	2	30	
Rope Cable Curl	6	2	57.5	
Face Pulls	10	2	62.5	
Rear Delt Machine	10	2	120	
Cable Lat Raise	10	3	2.5	2.5
Arnold Press	10	3	15	
Face Pulls	10	3	67.5	
Rear Delt Machine	10	3	120	
Hanging Leg Raises	10	3	Hold 2s	
Cable Woodchoppers	10	3	47.5	
Seated Calf Raise (Slow Eccentric)	10	3	180	180
Seated Tib DB Lift	10	3	40	40
