Exercise	Rep Range	Group #	Round 1	Round 2	Round 3
Cable Crunch (Heavy)	8-12	1	77.5	77.5	77.5
Weighted Decline Crunch	10-15	1	45	45	45
Reverse Crunch + isometric crunch	12-15	1	15 no hold	15 w isometric crunch	15
Flutter kicks	30 seconds x 3	1		30s	30sec x 3
Chest-Supported Row (Short ROM)	8-12	1	45	55	50
Landmine Press (Light/Moderate)	12-15	1	50	55	60
Landmine Row (Opposite Stance)	8-12, 4 sets	1	75	80	85
Rear Delt Machine (Control Sets of 5-6 perfect reps)	5-6 sets of 5-6 reps	1	50	50	50 (4 sets of 10)
Straight-Bar Cable Curl (Elbow Slightly Forward)	12-15	1	32.5	32.5	37.5
Leg Press (Heavy)	5-8	2	470	470	
Ham Curl Machine (Higher Rep)	12-15	2	150	150	
Adductor Machine	12-15	2	205	205	
Abductor Machine	12-15	2	150	150	
Tib Raise (Slow Eccentric)	12-15	2	45		
Cable Row (Neutral, Short ROM)	10-12	2	90	105	
Side-Lying External Rotation (Light Rehab)	12-15	2	5	5	
Hanging Leg Raise (Active Scap Only)	10-15	3	15	15x3 no hang high lift	
Ab Crunch Machine (Heavy)	8-12	3	170	170	
Cable Woodchopper (Controlled)	12-15	3	40	40	
Landmine Press (Light/Moderate)	12-15	3	55	60	
Landmine Row (Opposite Stance)	8-12	3	80	85	
Straight-Bar Cable Curl (Light/Moderate)	12-15	3	40	40	
Rear Delt Control Mini-Sets	5-6 sets of 5-6 reps	3	50	50	
Triceps Rope Pushdown (Only if 100% pain-free)	12-15	3	40	42.5	
Ham Curl (Heavy)	8-12	4	170	170	
Leg Press (Moderate Volume)	10-15	4	430	430	
Back Extension Machine (Arms Relaxed)	12-15	4	190	190	
Chest-Supported Row (Light/Moderate)	10-12	4	55	60	
Cable Row (Neutral, Short ROM)	10-12	4	105	105	
Straight-Bar Cable Curl burnout	25-30	4	27.5	27.5	
