Exercise	Sets x Weight	Group	Round 1	Round 2	Round 3	Round 4
Incline Dumbbell Press	4x45	Group 1	10	13	18	21
Chest-Supported Row	3x45	Group 1	15	20	22	24
Cable Fly (low/mid)	3x12.5	Group 1	15	18	21	24
Overhead Cable Triceps Extension	3x32.5	Group 1	18	21	24	26
Lateral Raise (Light)	3x7.5	Group 1	15	18	21	24
Calf Raises	3x125	Group 1	18	22	25	30
Seated Hamstring Curl	3x110	Group 1	20	25	30	15
Lat Pulldown	3x120	Group 2	18	21	24	12
Preacher Curl	3x30	Group 2	15	20	23	12x40
Face Pulls	3x50	Group 2	18	21	24	12
Landmine Press	3x50	Group 2	20	25	28	70x12
Landmine Row	4x75	Group 2	20	25	20	95x12x2
Shrugs	3x45	Group 2	25	30	30	15
Chest-Supported Row (Heavy)	4x55	Group 3	15	18	21	9
Incline Dumbbell Press (Moderate)	3x45	Group 3	17	18	21	12
Seated Overhead DB Press	4x15	Group 3	13	15	16	15
Arnold Press	3x10	Group 3	10	13	15	13
Calf Raises	3x125	Group 3	22	25	30	15
Lateral Raise	3x12.5	Group 3	15	18	21	10
Seated Hamstring Curl	3x130	Group 3	20	25		150x12
Chest Flys	3x60	Group 3	20	25	30	90x12
Rope Pushdowns	3x52.5	Group 4	20	25	28	72.5x12
Cable Curl (Drop Set)	2x37.5	Group 4	20	23	26	47.5x12
Seated Row	3x120	Group 4	15	16	18	120x12
Wide Pull-ups (Assist)	3x98	Group 4	15	18	10	98x12
Incline Hammer Curl	3x20	Group 4	12	13	15	25x10
Rear Delt Machine	3x50	Group 4	20	25	30	90x12
Lateral Raise	3x12.5	Group 4	15	18	20	15x12
Adduction	3x145	Group 4	20	25	28	160x15
Abduction	3x130	Group 4	20	25	28	150x12
