Exercise	Sets x Reps	Group	Round 1	Round 2	Round 3	Round 4	Round 5	Round 6
Incline Dumbbell Press (Heavy)	4x6-8	Group 1	45	50	50	45	55	60
Chest-Supported Row (Moderate)	3x8-10	Group 1	45	50	50	45	55	60
Cable Fly (low/mid)	3x12-15	Group 1	15	15	15	15	15	20
Overhead Cable Triceps Extension	3x10-12	Group 1	25	27.5	32.5	37.5	40	42.5
Lateral Raise	3x12-15	Group 1	7.5	7.5	7.5	10	12.5	15
Calf Raises	3x12-15	Group 1	100	120	120	135	150	160
Seated Hamstring Curl	3x12-15	Group 1	120	120	120	150	150	160
Leg Extension	3x12-15	Group 1	120	120	120	150	150	160
Lat Pulldown	3x8-10	Group 2	105	120	135	150	150	135
Preacher Curl	3x10-12	Group 2	30	30	40	40	40	40
Face Pulls	3x12-15	Group 2	47.5	55	62.5	60	62.5	62.5
Leg Press (deep)	3x10-12	Group 2	380	400	430	330	360	380
Landmine Press (Moderate)	3x12-15	Group 2	45	45	50	55	60	65
Landmine Row (Heavy)	4x6-8	Group 2	70	70	75	80	85	90
Glute Drive	3x10-12	Group 2	160	160	180	200	230	250
Shrugs DB	3x10-12	Group 2	50	55	60	65	70	70
Chest-Supported Row (Heavy)	4x6-8	Group 3	55	60	65	60	65	70
Incline Dumbbell Press (Moderate)	3x8-10	Group 3	45	50	50	50	50	55
Seated Overhead DB Press (heavy)	4x6-8	Group 3	12.5	20	12.5	12.5	20	20
Arnold Press (light)	3x10-12	Group 3	5	12.5	10	12.5	12.5	12.5
Calf Raises	3x12-15	Group 3	120	120	135	145	160	160
Seated Hamstring Curl	3x12-15	Group 3	120	130	140	150	150	160
Leg Extension	3x12-15	Group 3	120	130	140		150	160
Chest Flys	3x12-15	Group 3	50	50	60	70	80	90
Rope Pushdowns	3x10-12	Group 4	57.5	62.5	62.5	62.5	62.5	65
Cable Curl with Drop set	2x12-15	Group 4	37.5	40	40	42.5	42.5	40
Seated Row	3x8-10	Group 4	105	120	120	135	135	
Wide Pull-ups (counterweight)	3x12-15	Group 4	85	85	72	72	72	
Incline Hammer Curl	3x10-12	Group 4	20	20	20	20	25	
Rear Delt Machine	3x12-15	Group 4		40	50	60	60	
Lateral Raise	3x12–15	Group 4	5	5	7.5	10	12.5	
Adductor Machine	3x12–15	Group 4	110	120	130	140	140	
Abductor Machine	3x12–15	Group 4	110	120	130	140	140	
Leg Press (heavy)	4x6-8	Group 4	430	450	450	450	470	
