Exercise,Group,12-15 Reps,11-14 Reps,10-13 Reps,9-12 Reps,8-11 Reps,7-10 Reps,6-9 Reps
Hammer Curl,0,25,30,30,30,30,35,35
Seated Hamstring Curl,0,150,150,160,160,170,170,180
Rear Delt Machine,0,90,80,90,90,100,110,110
Lateral Raise DB,0,15,15,17.5,20,20,25,25
Preacher Curl,0,65,75,75,75,75,75,75
Hip Adduction Machine,0,160,180,190,190,190,190,200
Hip Abduction Machine (lean back),0,150,160,170,170,170,130,130
Barbell Curl,0,50,50,60,60,70,80,80
Cable Curl,0,42.5,47.5,47.5,47.5,52.5,52.5,55
Bench Press,1,95,115,125,135,145,155,145
Pec Deck,1,90,100,110,110,120,130,140
Incline DB Press,1,50,50,50,50,50,50,50
Cable Fly (high),1,20,20,20,20,20,25,27.5
Seated DB Shoulder Press,1,17.5,20,25,25,30,35,35
Single-Arm Cable Lateral Raise (Left Only),1,2.5,2.5,7.5,10,12.5,15,12.5
Tricep Rope Pushdowns,1,42.5,47.5,52.5,55,57.5,70,70
Cable Woodchoppers (Abs),1,32.5,37.5,40,42.5,47.5,47.5,52.5
Lat Pulldown (Heavy),2,135,140,150,150,150,160,152.5
Seated Cable Row,2,135,110,120,135,150,155,152.5
Assisted Pull-Ups,2,98,98,91.5,85,78.5,72,70
Chest-Supported Row,2,55,55,55,60,60,60,65
Face Pulls,2,52.5,55,57.5,62.5,65,62.5,62.5
Single-Arm Cable Lateral Raise (L +2 sets),2,2.5,5,7.5,10,12.5,5,5
Rear Delt Machine,2,70,80,90,100,110,110,110
Back Extension Machine,2,,,150,160,170,200,200
Seated Hamstring Curl,3,140,150,160,160,170,170,180
Seated Tib DB Lift,3,20,25,30,30 hold 1s,30 hold 2s,30 hold 2s,35
Seated Calf Raise,3,135,145,150,160,170,180,180
Hip Adduction Machine,3,170,180,190,190,190,190,200
Hip Abduction Machine (lean back after 170),3,150,160,160,170,170,130,140
Pec Deck Machine,3,80,90,100,120,130,130,140
Cable Fly (low),3,17.5,17.5,17.5,20,22.5,25,27.5
Leg Press Deep,3,330,350,350,380,400,415,430
Barbell Curls,4,50,50,60,60,70,80,85
Hammer Curls,4,25,25,25,25,30,30,35
Rope Cable Curl,4,42.5,47.5,45,45,47.5,47.5,47.5
Assisted Pull-Ups (Alternate Grip),4,91.5,91.5,85,78.5,72,65.5,59
Heavy Lat Pulldown,4,135,140,150,150,155,155,165
Landmine Press,4,80,75,80,85,85,90,75
Landmine Row,4,100,100,105,110,110,115,100
Cable bar curl burnout 50-60%,4,,,,,,23 reps,25 reps
Seated DB Shoulder Press,5,20,25,25,25,30,35,35
Arnold Press,5,15,17.5,17.5,17.5,20,20,20
Machine Shoulder Press,5,70,80,70,70,80,80,80
Single-Arm Cable Lateral Raise (L +2 sets),5,5,5,7.5,10,10,10,2.5
Machine Chest Press,5,130,130,140,140,140,,160
DB Lateral Raise (L +1 set),5,15,15,15,20,20,20,
Cable Fly (wide),5,20,20,20,25,25,25,25
Pec Deck,5,80,100,110,120,120,130,130
Weighted Decline Crunch,6,10,25,10,25,25,35,35x15
Cable Crunch,6,,,,,,62.5,62.5
Hanging Leg Raises,6,BW,BW,BW hold 1s,BW 2s extended legs,2s extended,2s extended,1s extended
Weighted Plank,6,,,,,,45 lbs 30s x2,"45 lbs 60,35s"
Ab Crunch Machine,6,120,120,120,130,140,140,140
Seated Tib DB Lift (slow eccentric),6,,,,,,35,35
Seated Calf Raise (slow eccentric),6,,,,,,180,180
