Exercise,Rep Range,Group #,2/16,Week 2,Week 3,Week 4
Smith Machine Incline Press,8–12,1,,,,
Incline Neutral-Grip DB Press,8–12,1,,,,
High-to-Low Cable Fly (Short ROM),12–15,1,,,,
Cable Crunch (Heavy),8–12,1,,70,,
Weighted Decline Crunch,10–15,1,,45,,
Cable Woodchoppers Burnout (Light),25-30,1,"60@25,50@30lb",,,
Low Cable Chest Fly Burnout,15–20,1,,,,
Cable Lateral Raise (Light),12–15,2,2.5,,,
Chest-Supported Row,6–9,2,60,,,
Neutral Grip Lat Pulldown,8–12,2,150,,,
Cable Row,8-12,2,90,,,
Single-Arm Cable Curl (Elbow Tucked),8–12,2,22.5,22.5,,
Rear Delt Machine,12–15,2,110,,,
Rope Cable Curl Burnout,25-30,2,40,,,
Hanging Leg Raises,10–15,3,10@2s,12@2s,,
Ab Crunch Machine (Heavy),8–12,3,140,,,
Seated Calf Raise (Slow Eccentric),8–12,3,160,170,,
Seated Tib Raises,12–15,3,40,45,,
Cable Woodchopper Heavy,12-15,3,67.5,,,
Weighted Plank Burnout,45–75 sec,3,2x35s,,,
Cable Lateral Raise (Light),12–15,4,2.5,,,
Landmine Press,10–15,4,,50,,
Landmine Row (Opposite Stance),8–12,4,,,,
Machine Chest Press,8–12,4,110,,,
Cable Fly (Wide),12–15,4,,,,
Rear Delt Machine (Light),12–15,4,90,,,
Hammer Curl (Light),10–15,4,,,,
Triceps Rope Pushdown,10–15,4,,,,
Leg Press (Heavy),5–8,5,450,470,,
Ham Curl Machine,8–12,5,150,160,,
Adductor Machine,12–15,5,200,200,,
Abductor Machine,12–15,5,140,140,,
Reverse Crunch Burnout,15–20,5,,,,
Pull-Ups,10-12,5,,,,
Arnold Press (Light),12-15,5,,,,
"Face Pull (Light, Controlled)",12–15,5,,,,
Cable bar curl,12-15,5,,22.5,,
